pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist,label
4.622654,7.51,12.0,5659.0,1.249,0.88,170.562,1.0
4.622654,7.91263,12.0,3095.0,1.08,0.88,867.306,1.0
8.2781,7.91263,12.0,6520.0,1.08,0.88,264.78,0.0
8.2758,10.2,12.0,5926.0,1.6,0.88,264.78,0.0
8.2766395,0.724,12.0,2586.0,0.11,0.88,264.78,0.0
0.6199,7.91263,12.0,2978.0,0.596423,0.585161,147.465,0.0
28.46762,37.0,12.0,5659.0,1.97,0.88,450.603,1.0
28.465633,18.4,12.0,5700.0,0.96,0.88,450.603,1.0
4.5417,7.91263,12.0,2897.0,0.641751,0.620907,264.78,0.0
83830.0,12.0,12.0,4000.0,0.74,0.88,446.905,1.0
8.79689,4.85,12.0,5659.0,2.047,0.88,377.553,1.0
1.153886,99.0,12.0,6841.0,1.8,0.88,588.018,1.0
1.6398934,33.0,12.0,5175.0,0.79,0.88,441.991,1.0
1.486243,58.0,12.0,5991.0,1.87,0.88,809.464,0.0
23.210585,5.7,12.0,5244.0,0.81,0.88,239.55,1.0
23.21037,15.3,12.0,5659.0,1.207,0.88,239.55,1.0
1.330023,44.0,12.0,5659.0,2.4,0.88,336.974,1.0
50.73641,10.31,12.0,5659.0,1.349,0.88,334.817,1.0
1.124,7.91263,12.0,3074.0,0.50547,0.503436,138.15,0.0
0.7474,7.91263,12.0,5659.0,1.08,0.88,133.312,0.0
46.1373,2.6,12.0,5659.0,0.723,0.88,290.683,1.0
1.957,7.91263,12.0,3913.0,45.3731,0.88,1236.49,1.0
22.6398,1.27,12.0,5659.0,0.862,0.88,94.2591,1.0
24.193613,30.7,12.0,5457.0,0.87,0.88,665.223,1.0
2.784496,2.09,12.0,5659.0,0.256,0.88,102.889,1.0
0.64292573,7.91263,12.0,2914.0,0.362033,0.348098,134.261,1.0
1.4562,7.91263,12.0,5659.0,1.08,0.88,264.78,0.0
2.8742,7.91263,12.0,3648.0,1.41662,0.88,144.025,0.0
10.2236,132.0,12.0,6960.0,2.04,0.88,143.715,1.0
1.6281,7.91263,12.0,5691.0,2.74444,1.013,144.951,0.0
2.7518,0.669,12.0,5659.0,0.647,0.88,60.5309,1.0
4.622654,133.0,12.0,5659.0,8.12,0.88,509.051,1.0
23.277669,32.8,12.0,4379.0,0.68,0.88,423.406,1.0
24.6842,2.49,12.0,5659.0,1.17,0.88,273.868,1.0
2.2,8.4,12.0,4800.0,0.87,0.88,305.337,1.0
2.6454165,9.47,12.0,5179.0,0.79,0.88,528.025,1.0
