pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_logg,st_loggerr1,st_loggerr2,st_met,st_meterr1,st_meterr2,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,disc_year,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,method_Transit,method_Radial Velocity,method_Microlensing,pl_density,orbital_velocity_proxy,star_planet_ratio,label
50.27762,0.00785,-0.00785,209.52,99.23,-99.23,12.0,0.0,0.0,321.79,0.0,0.0,1466.0,52.0,-52.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5141.0,38.0,-42.0,10.96,0.82,-0.93,0.88,0.0,0.0,4.37283,0.0,0.0,-0.21,0.01,-0.01,829.248,29.0795,-29.0795,11.668,0.033,-0.033,9.368,0.023,-0.023,2015.0,0.334,0.0,0.0,0.0,0.0,1,0,0,1.3046823577888844e-06,0.13229821373286757,0.052310042000763654,0
10.50439,0.00059,-0.00061,1.75,0.15,-0.43,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5659.0,0.0,0.0,0.878,0.018,-0.02,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,84.947,0.3721,-0.369,9.996,0.005,-0.005,8.166,0.0,0.0,2019.0,0.334,0.0,0.0,0.0,0.0,1,0,0,2.239067055393586,0.2894382457292025,0.5017142857142857,1
1.684208,2.4e-05,-2.4e-05,5.51,0.67,-0.9,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5659.0,0.0,0.0,0.431,0.051,-0.069,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,325.636,9.1805,-9.1805,16.809,0.423,-0.423,12.941,0.03,-0.03,2019.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.07173423141562288,0.722842156871869,0.07822141560798548,1
0.2122013,2.3e-06,-1.8e-06,0.519,0.046,-0.123,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5659.0,0.0,0.0,0.188,0.01,-0.004,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,71.8937,0.2492,-0.2475,14.898,0.025,-0.025,10.357,0.021,-0.021,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,85.83791745366624,2.0364198233539854,0.36223506743737954,1
0.21219899,0.0,0.0,1.05,0.0,0.0,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,3468.0,0.0,0.0,0.37,0.0,0.0,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,71.8937,0.2492,-0.2475,14.898,0.025,-0.025,10.357,0.021,-0.021,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,10.366051182377712,2.0364309075655305,0.35238095238095235,1
0.212194,2.6e-05,-2.6e-05,0.77,0.18,-0.18,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,3299.0,0.0,0.0,0.26,0.05,-0.05,0.88,0.0,0.0,5.106,0.0,0.0,0.155,0.0,0.0,71.8937,0.2492,-0.2475,14.898,0.025,-0.025,10.357,0.021,-0.021,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,26.285065920754906,2.0364548519996046,0.33766233766233766,1
1.5778643,0.0,0.0,7.55,0.0,0.0,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,4811.0,0.0,0.0,0.73,0.0,0.0,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,290.883,4.203,-4.086,12.605,0.126,-0.126,10.401,0.023,-0.023,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.027883057295906916,0.7468037860330438,0.09668874172185431,1
1.57771549,0.0,0.0,7.91263,0.0,0.0,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5163.0,166.99,-108.12,1.15585,0.065907,-0.089747,0.87,0.120921,-0.093336,4.25178,0.075081,-0.108147,-0.01,0.0,0.0,290.883,4.203,-4.086,12.605,0.126,-0.126,10.401,0.023,-0.023,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.024222483634984256,0.7425834768964741,0.14607658894703784,1
1.57771549,0.0,0.0,7.91263,0.0,0.0,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,7333.0,97.84,-154.55,2.56752,0.111879,-0.093196,1.66,0.350747,-0.210514,3.83915,0.105775,-0.058461,-0.01,0.0,0.0,307.784,6.025,-5.801,9.12,0.03,-0.03,8.438,0.023,-0.023,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.024222483634984256,1.0257456864048684,0.3244837683551487,1
13.0113,0.0052,-0.00422,2.43,0.25,-0.24,12.0,0.0,0.0,321.79,0.0,0.0,713.0,21.0,-21.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5347.0,122.0,-122.0,0.880221,0.0,0.0,0.92,0.0,0.0,4.51267,0.0,0.0,-0.01,0.0,0.0,501.257,8.49,-8.216,14.003,0.149,-0.149,12.194,0.027,-0.027,2018.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.8363006325150758,0.2659093255236533,0.36223086419753087,1
